Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
300560,5632,1,87,605,1019,1072,77.1049848,28.6372567,201,150,4,0,0,0,0,1,2.8,2,0,16
304453,5985,1,87,8840,1019,1072,77.1077556,28.6398962,1329,300,4,0,0,0,0,1,3.0,2,0,4
18025106,6132,1,87,8414,1019,1072,77.1137736,28.6341779,1444,300,4,0,0,0,0,1,3.3,2,0,15
301836,7117,1,87,6623,1019,1072,77.1104921,28.6341756,1306,150,4,0,0,0,0,1,3.1,2,0,10
306012,7124,1,87,5397,1019,1072,77.1053224,28.6401715,233,400,4,0,0,0,0,1,2.9,2,0,8
312023,7397,1,87,8073,1019,1072,77.1076479,28.6389889,1514,600,4,0,0,0,0,2,3.1,2,0,11
18430898,11,1,87,2166,1019,1072,77.1126948,28.6372986,331,500,4,0,0,0,0,2,0.0,4,3,0
305570,183,1,87,6250,1019,1072,77.1111664,28.6341062,1235,100,4,0,0,0,0,1,0.0,4,3,2
18447292,545,1,87,5386,1019,1072,77.1023553,28.6372884,1652,350,4,0,0,0,0,1,0.0,4,3,1
18365986,682,1,87,1745,1019,1072,77.111493,28.6341831,497,250,4,0,0,0,0,1,0.0,4,3,0
18441532,1301,1,87,4645,1019,1072,0.0,0.0,1329,800,4,1,0,0,0,2,0.0,4,3,0
18492045,1595,1,87,8325,1019,1072,77.113421,28.6380416,518,400,4,0,0,0,0,1,0.0,4,3,0
18352176,1633,1,87,4442,1019,1072,77.10088,28.634166,1306,200,4,0,0,0,0,1,0.0,4,3,3
18451605,1946,1,87,6231,1019,1072,77.1181788,28.6357662,582,250,4,0,0,0,0,1,0.0,4,3,0
18455549,1984,1,87,5758,1019,1072,77.1126948,28.6340741,1306,300,4,0,0,0,0,1,0.0,4,3,0
18455545,2477,1,87,7698,1019,1072,77.1184103,28.6351694,982,50,4,0,0,0,0,1,0.0,4,3,0
